filmtv_id,title,year,genre,duration,country,directors,actors,avg_vote,critics_vote,public_vote,total_votes,description,notes,humor,rhythm,effort,tension,erotism
30,A Ghentar si muore facile,1968,Adventure,101,Italy,Leon Klimovsky,"George Hilton, Ennio Girolami, Marta Padovan, Alfonso De La Vega, Venancio Muro, Alfonso Rojas, Luis Marin",4.8,4.5,5,3,An adventurer juggles a dictator and a group of rebels.,,0,2,0,1,0
32,Sleeping with the Enemy,1990,Drama,96,United States,Joseph Ruben,"Julia Roberts, Patrick Bergin, Kevin Anderson, Elizabeth Lawrence, Kyle Secor, Claudette Nevins, Tony Abatemarco, Marita Geraghty, Harley Venton",5,4.33,6,111,"Martin and Laura Burney have been married for more than three years, but for her it was three years of terror. Her husband alternates (rare) moments of tenderness with inexplicable fits of jealousy, after which Laura is forced to treat her bruises. One evening husband and wife are on a boat and Laura, who has always said she cannot swim, lets herself slip overboard and runs away. Now that Laura is free, she takes the name of Sara, goes to live in Iowa and rebuilds another life. But Martin discovers her and enters her house.","Some twist is actually well placed, but from a film with the highest paid actress in the world you could ask for more.",1,3,2,3,1
34,In Bed With Madonna,1990,Documentary,111,United States,Alek Keshishian,"Madonna, Warren Beatty, Sandra Bernhard, Antonio Banderas, Pedro Almodóvar",5.3,4,7,18,"Following the superstar Ciccone we can witness her most ""secret"" moments:","Excerpts of the shows and the insistent display of everything that reaffirms the ""freedom"", the ""unscrupulousness"" of the character, in any public or private situation.",1,3,0,0,2
36,Bowery at Midnight,1942,Horror,62,United States,Wallace Fox,"Bela Lugosi, John Archer, Wanda McKay, Dave O'Brien, Lew Kelly",5.1,5,5,27,"In the infamous New York neighborhood of Bowery, there is a shelter for destitute people where Professor Brenner also lends his work. He is a teacher from the local college, but he leads a double life: at night, stripping off his respectable professional clothes, he turns into a ruthless killer. He then throws his victims into a basement where a strange zombie people live. But even the ""professor"" will have a bad end.","Defined by critics as shaky, Wallace W. Fox's horror films nevertheless remain the cornerstones of the unrepeatable B movie season. Fox is a master of atmosphere, thanks to a lugubrious Bela Lugosi at the right point.",0,2,1,3,0
37,A mezzanotte va la ronda del piacere,1975,Comedy,100,Italy,Marcello Fondato,"Claudia Cardinale, Monica Vitti, Vittorio Gassman, Giancarlo Giannini, Renato Pozzetto",5.8,5.73,6,58,"After yet another marital quarrel, Gino disappears in a sewage collector and his wife is accused of murder. At the trial, the woman recalls the passionate relationship with her husband, made up of slaps and reconciliations. This is for a middle-class lady on the jury to open her eyes to her own marital miseries. The trial risks ending in a heavy sentence, but the alleged murderer is thankfully alive and well.","The film represents an attempt to resurrect the Italian comedy in its most biting value by relying on a supercast, but the operation fails: commonplaces are wasted and Marcello Fondato is neither Risi nor Monicelli.",3,3,2,2,2
38,Mr. Majestyk,1974,Action,105,United States,Richard Fleischer,"Charles Bronson, Linda Cristal, Al Lettieri, Lee Purcell",6.2,5.71,7,28,"A veteran of Vietnam, Vince (Bronson) grows melons in Colorado. He hires Mexican workers led by trade unionist Nancy, but he clashes with the labor racket that frames him and sends him to jail. Vince manages to escape by dragging a dangerous multiple murderer with him, offering to hand him over to the police in exchange for his freedom. But the ""kidnapped"" gang wants his skin.","Cliché screenplay (by Elmore Leonard) tailored to the ""tough, but fair"" Bronson who, after years of honored career following the ""Magnificent Seven"" (1960), in that same 1974 will experience the apotheosis with ""The executioner of the night "". Fleischer is routinely directed.",0,4,3,3,0
45,Warning Sign,1985,Action,99,United States,Hal Barwood,"Sam Waterston, Kathleen Quinlan, Yaphet Kotto, Jeffrey DeMunn",4.8,4,6,10,"Inside the Biotek laboratory, a renowned and reassuring factory at the forefront of agronomy, the red alarm goes off. What could have happened in an agricultural research institute? Nothing serious, unless behind the austere facade of the offices there is a biological weapons factory. In the meantime, no one can leave the room, where those contaminated by a strange virus become bloodthirsty beasts. A sheriff and his aide try to shed some light on the matter before it's too late.","It is a film that mixes ""The invasion of the body snatchers"" with ""The Thing"", passing through the ""Visitors"", but without the effectiveness of any of these.",0,2,1,1,0
47,About Last Night,1986,Comedy,113,United States,Edward Zwick,"Rob Lowe, Demi Moore, James Belushi, Elizabeth Perkins, George DiCenzo, Robin Thomas, Megan Mullally",5.9,6,6,30,"Met by chance during a night out at a club, Danny and Debbie spend the night together. In the morning they say goodbye. It seems like one of the many occasional encounters, instead the two think about it, they think they really love each other, they get together. Of course it doesn't work: life as a couple isn't that simple, plus work isn't going very well. The two then break up, but it doesn't mean it's forever ...","We don't know what's left in the script for David Mamet's original comedy ""Sexual Perversity in Chicago"". What remains is the cross-section of this young and uninhibited American society, as free as it is fragile, and a discreet rhythm of comedy.",2,3,1,1,0
49,Fail-Safe,1964,Drama,110,United States,Sidney Lumet,"Henry Fonda, Dan O'Herlihy, Walter Matthau, Dom DeLuise, Frank Overton, Edward Binns, Fritz Weaver, Larry Hagman",8.2,8.2,8,73,"When the US strategic air command is alerted to the sighting of an unidentified flying object bound for the United States, the atomic bombers take off. Once the alarm has ceased, the aircraft return to base. But one day it happens that a flock, due to a fault in the electronic equipment, continues its flight towards Moscow. Between frantic exchanges of orders the irreparable ...","With this film Lumet returns great, after a period of theatrical films frankly below its possibilities; the credit also goes to a cast of excellent actors.",0,3,3,3,0
51,Some Like It Hot,1959,Comedy,120,United States,Billy Wilder,"Tony Curtis, Jack Lemmon, Marilyn Monroe, Joe E. Brown, George Raft, Pat O'Brien, Nehemiah Persoff, Joan Shawlee",9.1,9.38,9,558,"Unintentional witnesses to the Valentine's Day massacre, Joe and Jerry, musicians by profession, escape the gangsters and get hired into an all-female orchestra, disguising themselves and hiding their identities from everyone. Hard times, especially as they both fall in love with Zucchero Kandinski, a delightful ukulele player. In the warmth of Florida, however, other loves also blossom: for example the one between an old foolish billionaire and one of the two ""beauties"" in disguise ...","Curtis and Lemmon in women's clothes who enter the station and see Marilyn Monroe walking in front of them, as even the locomotive passes by, create one of the most hilarious duets in the history of cinema.",4,3,2,2,2
53,A qualsiasi prezzo,1968,Adventure,94,Italy,Emilio Miraglia,"Walter Pidgeon, Ira Fürstenberg, Klaus Kinski, Tino Carraro, Marino Masé, Corrado Olmi, Giovanni Ivan Scratuglia, Guido Alberti",3.8,4,4,8,"The holidays of Professor Cummings, an illustrious Vaticanist, are rather unique. As soon as a study on the treasure of St. Peter is finished, he does not allow himself even a moment of rest and sets out in search of four criminals who can help him steal the treasure of St. Peter. Although Cummings is blind, the plan is perfect and everything works, but not completely.","Although Emilio Miraglia is blind (in cinematic talent) the idea of ??choosing Ira Fürstenberg as co-star in a film is never entirely wrong. The rest, including the usual late Kinski, is to be forgotten.",1,2,0,1,1
54,Johnny O'Clock,1947,Thriller,95,United States,Robert Rossen,"Dick Powell, Evelyn Keyes, Lee J. Cobb, Ellen Drew, Nina Foch, Thomas Gomez, Jim Bannon",7.8,8,8,20,"Johnny O'Clock (Powell) is a minority partner in an underground casino run by Pete Marchettis. The trouble begins when Harriet, the casino attendant, is found murdered. His sister Nancy arrives to find out the truth and ends up falling in love with Johnny.","Columbia took advantage of Dick Powell's recent success in another noir ""Shadow of the Past"". Rossen, on his debut as a director, used his scriptwriting skills to write a very Chandlerian and complicated story, with fierce and sarcastic dialogue and a constant underlying anger.",1,3,1,3,1
55,Back to School,1986,Comedy,100,United States,Alan Metter,"Rodney Dangerfield, Keith Gordon, Sally Kellerman, Robert Downey jr., Burt Young, Ned Beatty, Terry Farrell, Paxton Whitehead, M. Emmet Walsh, Adrienne Barbeau",6.5,7,6,17,"Jason Melon is a student, not quite bright, at Grand Lake University. To encourage him, his father Thornton, an exuberant owner of department stores, enrolled in his own faculty. The sympathy and personality of the man, accustomed to dealing with his business in a gritty way, give the institute a boost and finally also his son, thanks to a spectacular swimming competition.","In the overused vein of college films, this gem stands out which, while not going beyond the traditional canons of comedy, manages to entertain in an intelligent way. Thanks above all to the overflowing personality of actor Rodney Dangerfield.",3,2,1,0,0
58,Driving Miss Daisy,1989,Comedy,100,United States,Bruce Beresford,"Jessica Tandy, Morgan Freeman, Dan Aykroyd, Patty LuPone, Esther Rolle",7,7,7,204,The story of a friendship that arises despite the social prejudices between a sprightly Jewish lady and her black driver.,The film tells with a slightly honeyed tenderness of the passage of time and the joy of discovering that one needs others.,2,2,3,1,0
59,Enid Is Sleeping,1989,Comedy,102,United States,Maurice Phillips,"Elizabeth Perkins, Judge Reinhold, Maurine Mueller, Michael J. Pollard, Jeffrey Jones, Rhea Perlman, Brion James",7,8,6,3,"Enid discovers her husband Harry in intimacy with her sister June. Harry is a cop and the gun is close at hand. In the fight that follows, a blow starts and Enid is left dry. From then on we witness Harry and June's attempts to dispose of the corpse. For one reason or another the attempts never go through, but the ending hides a surprise.","Troubled film, edited and reassembled by production. The idea is nice even if not very original (""S.O.B."", ""Weekend with the dead"", etc ...). Judge Reinhold is the one from ""Beverly Hills Cop"" and is a handsome comic talent.",3,2,0,1,0
61,The Appaloosa,1966,Western,98,United States,Sidney J. Furie,"Marlon Brando, Anjanette Comer, John Saxon, Emilio Fernández, Alex Montoya, Miriam Colon, Rafael Campos, Frank Silvera",6.9,7,7,26,"On the Mexican frontier, a dramatic rivalry between a bandolero and an aspiring breeder around a woman and a stallion.",A very original western for the subject and for the very personal shooting style of the Canadian director Sidney Furie. Great interpretation by Marlon Brando.,0,2,1,3,1
63,...a tutte le auto della polizia...,1975,Crime,100,Italy,Mario Caiano,"Antonio Sabato, Luciana Paluzzi, Enrico Maria Salerno, Gabriele Ferzetti, Elio Zamuto, Ettore Manni, Marino Masé, Bedy Moratti",5.7,5.57,6,26,"The body of a sixteen-year-old daughter of a medicine baron is found. There is a suspect immediately, but the developments of the investigation lead to hot leads and involve big names. Other crimes further complicate matters, until Commissioner Carraro (Sabàto), supported only by a colleague (Salerno) and opposed instead by the commissioner, comes to the truth.","Like taking a number of crime movie stereotypes, throwing them together in a story that gets ridiculously complicated, using them without cunning, and getting indigestible soup.",0,2,0,2,1
67,You'll Like My Mother,1973,Thriller,94,United States,Lamont Johnson,"Patty Duke, Rosemary Murphy, Richard Thomas, Sian Barbara Allen, Dennis Rucker",7.8,8,8,6,"After her husband's death, Francesca decides to go and meet her mother-in-law. The journey is very difficult, also because Francesca is about to give birth to a child and the house is isolated in the woods. Upon his arrival he discovers that his mother-in-law is dead and that in his house lives a hag who hides a murderous son and a subnormal daughter. It is the latter who will help Francesca in a decisive way when the other two inhabitants of the house try to kill her and the child who has been born in the meantime.","Specialist Lamont Johnson has built an effective ""Rosemary's Baby"" story, as obsessive as the atmosphere of the house where all the action takes place.",0,3,1,3,0
68,Abbasso la miseria!,1945,Comedy,90,Italy,Gennaro Righelli,"Anna Magnani, Nino Besozzi, Virgilio Riento, Lauro Gazzolo, Vito Annichiarico, Sandro Ruffini, Marisa Vernati, Aldo Silvani",6.1,6,6,34,"Giovanni Strasselli makes the black bag, but does not have much luck due to his heart of gold that prevents him from extorting customers, all poor people, with exorbitant prices. His heart is so tender that one day he even ends up taking an abandoned boy home with him. Even his wife Nannina, who at first is not enthusiastic, eventually becomes attached to the boy who will find a way to reciprocate them.","Gennaro Righelli, a veteran of Italian cinema, adapts to the neorealist climate and puts himself at the service of Magnani's talent, which, moreover, stands out a little less than it could because of a slightly frail screenplay.",2,2,0,0,0
69,Abbasso la ricchezza!,1946,Comedy,93,Italy,Gennaro Righelli,"Anna Magnani, Vittorio De Sica, Virgilio Riento, Galeazzo Benti, Laura Gore, Zora Piazza, Lauro Gazzolo",5.6,5.17,6,32,"Gioconda Perfetti is a modest fruit seller who got rich during the war with the black market. Now that he has raised a good amount of money, however, he does not know how to invest it best and, on the contrary, begins to squander the money to demonstrate his new social status. The sudden well-being makes her easy prey for characters who just want to cheat her money: she will return, poor again, to her little shop.","Gennaro Righelli tries to repeat the success of ""Down with misery"", but despite the presence of Magnani the operation fails. The moral is too schematic. The characters as well.",2,2,1,0,0
70,Can You Feel Me Dancing?,1986,Drama,120,United States,Michael Miller,"Justine Bateman, Jason Bateman, Max Gail, Joe Nasser, Frances Lee McCain, Roger Wilson",8,6,10,3,"Karin Nichols, blind since birth, no longer stands the care despite the love of his family: in fact, in fact, he intended to live his handicap without relying on feelings of mercy by his neighbor. This is why she leaves the family and goes to live with her boyfriend: but she realizes that these too, for too much love, deals with her more than her girl believes is necessary.","Based on a true story, it is a film for television focused on the Bateman brothers, unknown by us but well known to American television. A few tears, a little civil commitment and many good feelings: the safe formula not to make mistakes.",0,2,2,0,0
71,Charlie Muffin,1979,Spy,109,Great Britain,Jack Gold,"David Hemmings, Sam Wanamaker, Jennie Linden, Ian Richardson, Ralph Richardson, Pinkas Braun, Shane Rimmer, Tony Mathews, Christopher Godwin",6.2,6,6,13,"Charlie Muffin is a British intelligence agent of excellent qualities, but disliked by his foolish and conceited superiors. When the big ""blow"" of a high Soviet officer who seems determined to defect in favor of the West looms, Muffin is the only one who realizes that the intrigue is much more subtle and complex than it appears at first sight. how much the upper echelons cannot imagine. And he will be the only one who knows how to profit ...","The film (based on a novel by Brian Freemantle) is very literary, but built with a decidedly compelling narrative technique that leaves no room for moments of tiredness until the end of the story.",1,2,1,3,0
73,Abbronzatissimi,1991,Comedy,114,Italy,Bruno Gaburro,"Jerry Calà, Alba Parietti, Eva Grimaldi, Teo Teocoli, Mauro Di Francesco, Salvatore Marino, Franco Oppini, Piermaria Cecchini, Guido Nicheli",3.3,3.11,3,91,"In a very hot summer in Rimini, several stories intertwine: there is Billy Damasco, a singer of high hopes who spends his time between keyboards and betting on mouse races. There is Aurora, whom Billy pays attention to; there are two workers who pretend to be industrialists, a ""ring"" engaged in frenzied overtime and - last but not least - the love story between a good girl and a black doctor.","Gaburro churns out a pimp of old and new comedians with powerful injections of female buttocks. Embarrassing gags even for a TV show, and that's saying something.",3,2,2,2,2
74,The Deep,1977,Adventure,130,United States,Peter Yates,"Nick Nolte, Jacqueline Bisset, Robert Shaw, Eli Wallach, Louis Gossett jr., Dick Anthony Williams, Earl Maynard, Bob Minor",5.3,4.88,6,31,"A boy and a girl, passionate divers, dive off the coast of Bermuda. On the carcass of a ship they find a Spanish medallion and a phial of morphine. A friend of theirs explains what is happening: a hospital ship that sank in the last war with its cargo of 70,000 vials of morphine landed on a Spanish galleon containing gold and sank two centuries earlier. The news leaks out and the adventurer Cloche tries to get hold of everything: morphine can in fact be transformed into heroin. But the two young people are opposed.","Not very exciting, but the underwater scenes are beautiful. The charm of Nick Nolte and Jacqueline Bisset remain unchanged.",1,2,1,2,1
77,Abe Lincoln in Illinois,1940,Biography,110,United States,John Cromwell,"Raymond Massey, Ruth Gordon, Gene Lockhart, Mary Howard, Minor Watson, Alan Baxter, Harvey Stephens, Howard Da Silva, Dorothy Tree",6.3,6,7,14,"From lumberjack in his native Illinois to the seat of president of the United States in Washington: the life of Abraham Lincoln. In the background, two fleeting loves are also briefly mentioned: one romantic, but unhappy, and the other with the woman who will become his wife.","Anthology of famous episodes in American history from a successful play, well interpreted and photographed by James Wong Howe.",0,1,1,1,0
78,Absolute Beginners,1986,Musical,100,Great Britain,Julien Temple,"Patsy Kensit, David Bowie, Eddie O'Connell, James Fox, Ray Davies, Mandy Rice-Davies, Eve Ferret, Tony Hippolyte",6.3,6.8,6,31,"We are in London in the late 1950s. Colin, an apprentice photographer and Suzette, a fashion designer, love each other, but she ends up marrying Henley, the great Mayfair tailor, much to the boy's desperation. Colin continues his life, amidst the turmoil that already heralds the ""fabulous"" 60s and racial clashes, during which, as a good democrat, he sided with minorities. And after the storm he will also find his Suzette.","An admittedly nostalgic operation (the reference point is Minnelli), ""Absolute Beginners"" has to its credit, in order of merit, Patsy Kensit, David Bowie, an enthralling leitmotif, but it remains a lifeless film.",1,2,0,2,1
79,The Abyss,1989,Sci-Fi,138,United States,James Cameron,"Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn, Leo Burmester, Todd Graff, John Bedford Lloyd, J.C. Quinn, Kimberly Scott",7.2,7.14,7,190,"Divers from an underwater base must recover a failed nuclear submarine. Bud, a determined and experienced man, is their leader. Due to the particular nature of the mission, he is joined by Lindsey Brigman, a design engineer of the base, who, however, is also his ex-wife. Finally, the two are joined by Coffey, a psychotic naval officer. Together they will discover strange entities at the bottom of the abyss.","Direction technical tests waiting to set sail with the ""Titanic"". With a nod to Spielberg's feel-good science fiction, James Cameron founds an epic of spectacularity. Very high voltage.",0,3,0,3,0
80,"Acapulco, prima spiaggia... a sinistra",1983,Comedy,88,Italy,Sergio Martino,"Gigi Sammarchi, Andrea Roncato, Simona Marchini, Gegia, Anna Kanakis, Mirella Banti, Cinzia Berni, Serena Grandi",4.2,3.11,5,81,"Unemployed and penniless, Gigi and Andrea dream of spending the summer making conquests on splendid exotic beaches, but they have to settle for Cesenatico and an aunt's boarding house. There, the two shabby playboys make up for only thin figures until, exhausted the resources, they return to Bologna in the middle of August.","Gigi and Andrea were a close-knit couple, who avoided the worst vulgarities, but the film, with the excuse of making fun of Italian gallism, spreads the usual sample of beauties in the bathroom and stale jokes. In the cast, a young Serena Grandi, not yet launched into the soft-core firmament by Tinto Brass (""Miranda"").",3,2,1,1,2
82,Accadde a Damasco,1943,Comedy,88,"Italy, Spain","José Lopez Rubio, Primo Zeglio","Paola Barbara, Germana Paolieri, Miguel Ligero, Lauro Gazzolo, Luis de Arnedillo, Rafael Navarro, Manuel Arbó, Carmen Arrojo",3.5,3,4,3,"The young, beautiful daughter of an Arab merchant goes to Damascus to collect a credit claimed by her father from a self-styled doctor. These, the Cadì and even the Gran Vizir, would like to seduce you. The three suitors will be mocked by the girl, who will marry the Caliph instead.","A double version of the film, based on an operetta by Lesa, was made: in Spanish, directed by José Lopez Rubio, and in Italian, signed by Primo Zeglio. Unfortunately, given the results, even one would have been left over. We are in the middle of the Second World War, in hard and difficult times, when it took very little to dream.",1,1,0,2,1
83,Accadde al penitenziario,1955,Comedy,95,Italy,Giorgio Bianchi,"Aldo Fabrizi, Walter Chiari, Alberto Sordi, Peppino De Filippo, Mara Berni, Nino Besozzi, Mario Riva, Riccardo Billi",5.5,5.14,6,46,"Cesare, a jailer in a penitentiary, is a good man who tries to help prisoners. His kindness often causes him trouble, but he does not regret it and consoles himself by keeping a kind of diary, in which the events of the prisoners dearest to him are noted. Among them Walter, who ended up in jail after a ""dark lady"" accused him of theft in a jewelry store ...","A classic of the 50s Italian comedy, with Fabrizi (amazing!), Chiari and Sordi mattatori. Photography by Tonino Delli Colli and screenplay by Ettore Scola. Made after the success of _Accadde al commissariato_.",2,2,1,1,0
84,It Happened Tomorrow,1944,Comedy,84,United States,René Clair,"Dick Powell, Linda Darnell, Jack Oakie, Edgard Kennedy, John Philliber, Edward Brophy, George Cleveland, Sig Ruman",7.6,8,7,50,"Larry Stevens is a journalist in constant search for affirmation, or rather a ""scoop"". One evening, leaving the usual bar, an elderly colleague gives him a copy of the newspaper. A very special copy since it is the copy of the next day, the one with the facts that have yet to happen. When Larry finds out that his old colleague is already dead he understands. The affair repeats itself and Larry, systematically anticipating his colleagues on the news, becomes rich and famous, gets married until, in the ""next day's newspaper"", he reads the news of his own death during a robbery ...","Even on an American trip, René Clair is light and overwhelming as usual.",3,3,1,2,0
87,Made in Heaven,1987,Romantic,102,United States,Alan Rudolph,"Timothy Hutton, Kelly McGillis, Maureen Stapleton, Ann Wedgeworth, James Gammon, Mare Winningham, John Considine, Don Murray, Tim Daly, David Rasche, Amanda Plummer, Tom Petty",5.6,6.25,5,20,"Mike dies while trying to save children from a car accident. He finds himself in Heaven and discovers that reincarnation is possible, that there are still unborn angels, that Annie is one of them and she is also very pretty. Their marriage in Heaven is happy, but trouble comes when Annie is forced to descend to Earth to incarnate in Allyson's body. Mike has thirty years to find her. The two, now human, cross several times without recognizing each other.","Alan Rudolph (""Welcome to Los Angeles"", ""Choose Me"") can't pull much from a very confused subject.",2,2,0,1,1
88,September Affair,1950,Comedy,104,United States,William Dieterle,"Joan Fontaine, Joseph Cotten, Françoise Rosay, Jessica Tandy, Robert Arthur, Jimmy Lydon, Fortunio Bonanova",6.5,7.67,5,10,"David Lawrence is in Italy for work and meets the beautiful Stuart, a professional pianist. For different reasons, they both miss the plane and travel to Capri together, where they fall in love with each other. The plane on which they were supposed to travel crashed and the two are believed dead: they immediately adapt to the new situation because David is married with a son. Some time later in Florence David meets the family who believe him dead: he will decide to return with them.","One of the many American melodramas set in Italy, in which the best parts are the funny ones while the postcard Italy is unbearable.",2,0,0,0,0
89,It Happened One Night,1934,Comedy,108,United States,Frank Capra,"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns, Jameson Thomas, Alan Hale, Arthur Hoyt, Blanche Friderici",8.4,8.56,8,180,"A temperamental heiress has fallen in love with a charming aviator, dude and vain and discreet parasite. Her father opposes the feeling, but the young woman feels no reason and runs away to reach her beloved. A journalist follows her but, instead of hitting a scoop, she ends up falling in love, reciprocated, with her ""prey"".","From the prince of comedy, with a trio of capital actors. One of the masterpieces of the genre, model for many other American and non-American films. Conflicts of gender, class, the background of the Great Depression and the myth of the pursuit of happiness. Five Oscars: Best Picture, Direction, Lead Actor (Gable), Lead Actress (Colbert) and Screenplay (Robert Riskin).",3,3,1,2,1
